area_type,availability,location,size,society,total_sqft,bath,balcony,price
Carpet Area,Under Construction,Anna Nagar,4 BHK,Society3,4424,1,2,229.59
Built-up Area,Ready To Move,Nungambakkam,2 BHK,Society2,1843,1,3,103.07
Built-up Area,Ready To Move,Adyar,2 BHK,Society3,2101,2,0,116.52
Carpet Area,Under Construction,Tambaram,3 BHK,Society4,2359,2,1,131.37
Built-up Area,Under Construction,Kodambakkam,2 BHK,Society2,2263,3,0,90.32
Carpet Area,Ready To Move,Sholinganallur,2 BHK,Society5,2013,3,3,64.52
Carpet Area,Ready To Move,Adyar,2 BHK,Society2,1451,2,1,68.82
Plot Area,Ready To Move,Anna Nagar,4 BHK,Society3,2730,1,3,85.18
Carpet Area,Ready To Move,Medavakkam,3 BHK,Society1,1757,3,3,58.47
Carpet Area,Ready To Move,Kodambakkam,2 BHK,Society4,2171,2,3,138.12
Plot Area,Under Construction,Tambaram,2 BHK,Society1,1254,1,1,58.68
Carpet Area,Ready To Move,Adyar,4 BHK,Society5,3486,5,3,238.79
Built-up Area,Under Construction,Anna Nagar,1 BHK,Society5,818,2,1,31.64
Carpet Area,Ready To Move,Adyar,1 BHK,Society5,633,1,1,18.93
Plot Area,Under Construction,Anna Nagar,3 BHK,Society2,1645,3,0,112.15
Built-up Area,Ready To Move,T. Nagar,3 BHK,Society1,2462,3,0,155.5
Carpet Area,Ready To Move,T. Nagar,4 BHK,Society2,2227,3,0,123.65
Carpet Area,Ready To Move,Sholinganallur,2 BHK,Society3,1052,3,2,52.41
Built-up Area,Ready To Move,Anna Nagar,2 BHK,Society3,1319,1,2,41.37
Plot Area,Under Construction,Velachery,1 BHK,Society4,538,1,0,25.42
Carpet Area,Ready To Move,T. Nagar,1 BHK,Society3,607,1,2,19.45
Carpet Area,Ready To Move,Sholinganallur,1 BHK,Society4,543,1,0,35.11
Plot Area,Ready To Move,T. Nagar,1 BHK,Society3,963,2,2,32.85
Carpet Area,Under Construction,Tambaram,1 BHK,Society3,737,2,3,37.18
Plot Area,Under Construction,Nungambakkam,1 BHK,Society5,663,2,0,33.2
Carpet Area,Under Construction,Anna Nagar,3 BHK,Society2,3409,1,2,150.1
Plot Area,Under Construction,Medavakkam,4 BHK,Society4,2107,5,1,124.41
Plot Area,Under Construction,Nungambakkam,2 BHK,Society4,1775,2,1,104.46
Plot Area,Under Construction,Medavakkam,1 BHK,Society3,940,1,0,55.72
Carpet Area,Ready To Move,Velachery,3 BHK,Society5,2447,3,0,63.49
Carpet Area,Ready To Move,Sholinganallur,2 BHK,Society1,1377,2,3,80.05
Built-up Area,Under Construction,Medavakkam,5 BHK,Society1,2846,5,0,104.29
Plot Area,Under Construction,Tambaram,3 BHK,Society1,3578,2,0,224.74
Built-up Area,Ready To Move,Thiruvanmiyur,2 BHK,Society3,2034,2,3,54.42
Plot Area,Under Construction,Sholinganallur,1 BHK,Society5,972,1,1,61.53
Carpet Area,Ready To Move,Anna Nagar,3 BHK,Society3,3091,3,2,107.87
Plot Area,Under Construction,T. Nagar,2 BHK,Society4,1454,1,2,71.32
Plot Area,Ready To Move,Adyar,4 BHK,Society1,4300,3,0,174.71
Plot Area,Ready To Move,Velachery,1 BHK,Society4,1114,1,1,67.13
Carpet Area,Under Construction,Anna Nagar,5 BHK,Society1,5563,2,2,246.85
Built-up Area,Ready To Move,Medavakkam,3 BHK,Society2,2460,2,3,61.67
Plot Area,Under Construction,Sholinganallur,3 BHK,Society5,1891,4,2,124.41
Carpet Area,Under Construction,Medavakkam,2 BHK,Society4,1084,1,2,28.54
Built-up Area,Under Construction,Adyar,5 BHK,Society3,3866,4,1,149.25
Built-up Area,Under Construction,T. Nagar,3 BHK,Society1,3442,2,1,150.88
Carpet Area,Ready To Move,Sholinganallur,1 BHK,Society4,904,2,1,44.7
Built-up Area,Ready To Move,Velachery,3 BHK,Society4,2045,3,3,75.75
Plot Area,Under Construction,Medavakkam,1 BHK,Society5,1161,2,0,30.89
Plot Area,Ready To Move,Kodambakkam,1 BHK,Society1,1063,1,3,38.96
Carpet Area,Ready To Move,Anna Nagar,2 BHK,Society1,1371,3,1,83.98
Built-up Area,Ready To Move,Thiruvanmiyur,1 BHK,Society5,816,1,3,49.41
Plot Area,Ready To Move,Adyar,1 BHK,Society4,779,2,3,26.2
Built-up Area,Ready To Move,Nungambakkam,2 BHK,Society4,1023,2,1,57.87
Plot Area,Ready To Move,Medavakkam,1 BHK,Society3,720,1,3,20.93
Built-up Area,Ready To Move,Nungambakkam,2 BHK,Society1,1298,1,3,85.98
Plot Area,Under Construction,Adyar,5 BHK,Society1,5776,5,3,397.1
Plot Area,Under Construction,Tambaram,1 BHK,Society5,642,1,0,44.38
Plot Area,Ready To Move,Tambaram,5 BHK,Society4,4325,3,2,287.38
Carpet Area,Ready To Move,T. Nagar,3 BHK,Society4,2030,1,1,69.38
Built-up Area,Ready To Move,T. Nagar,4 BHK,Society4,2515,3,3,169.1
Plot Area,Under Construction,Adyar,5 BHK,Society3,3876,2,2,196.5
Plot Area,Ready To Move,Sholinganallur,4 BHK,Society1,2056,5,3,133.02
Plot Area,Under Construction,Adyar,5 BHK,Society3,5647,2,3,241.65
Built-up Area,Ready To Move,Anna Nagar,4 BHK,Society4,3341,3,3,140.02
Plot Area,Ready To Move,Medavakkam,3 BHK,Society4,2957,3,0,206.56
Plot Area,Ready To Move,T. Nagar,4 BHK,Society3,4138,3,2,288.43
Plot Area,Ready To Move,Adyar,4 BHK,Society5,2984,3,3,114.46
Carpet Area,Under Construction,Medavakkam,2 BHK,Society2,1837,3,0,69.27
Plot Area,Under Construction,Velachery,5 BHK,Society1,4104,4,3,136.23
Carpet Area,Under Construction,Thiruvanmiyur,5 BHK,Society4,3696,5,0,107.91
Plot Area,Under Construction,Thiruvanmiyur,3 BHK,Society1,1510,3,1,93.46
Built-up Area,Ready To Move,Sholinganallur,2 BHK,Society3,1849,2,0,90.13
Carpet Area,Under Construction,Sholinganallur,1 BHK,Society3,1093,2,3,30.62
Plot Area,Ready To Move,Anna Nagar,3 BHK,Society2,3198,2,1,148.33
Built-up Area,Ready To Move,T. Nagar,3 BHK,Society3,3435,2,2,199.33
Carpet Area,Under Construction,Nungambakkam,3 BHK,Society5,2697,2,0,140.71
Carpet Area,Ready To Move,Adyar,4 BHK,Society4,3418,3,3,232.55
Plot Area,Ready To Move,Velachery,2 BHK,Society1,1331,1,2,50.37
Carpet Area,Ready To Move,Nungambakkam,3 BHK,Society1,3073,1,0,176.87
Built-up Area,Under Construction,Sholinganallur,3 BHK,Society3,3142,3,2,181.26
Carpet Area,Ready To Move,Adyar,2 BHK,Society4,1637,1,0,54.43
Built-up Area,Under Construction,Velachery,3 BHK,Society4,1960,2,0,51.52
Carpet Area,Under Construction,Medavakkam,4 BHK,Society1,4574,5,1,214.97
Built-up Area,Under Construction,Anna Nagar,2 BHK,Society4,2067,3,1,66.3
Carpet Area,Ready To Move,Sholinganallur,1 BHK,Society2,680,1,1,42.64
Plot Area,Ready To Move,Tambaram,3 BHK,Society3,3107,4,1,173.12
Built-up Area,Under Construction,Adyar,3 BHK,Society5,3109,4,2,198.97
Carpet Area,Under Construction,Adyar,4 BHK,Society5,2829,2,1,153.0
Carpet Area,Ready To Move,Sholinganallur,2 BHK,Society2,2259,3,0,149.75
Carpet Area,Under Construction,Anna Nagar,1 BHK,Society4,928,2,2,38.72
Plot Area,Under Construction,Sholinganallur,1 BHK,Society1,1120,1,3,47.01
Carpet Area,Under Construction,Tambaram,4 BHK,Society1,2668,4,2,75.17
Carpet Area,Under Construction,T. Nagar,5 BHK,Society2,3465,5,2,145.5
Plot Area,Ready To Move,Thiruvanmiyur,4 BHK,Society1,3089,1,1,207.26
Carpet Area,Under Construction,Sholinganallur,2 BHK,Society1,1295,3,1,78.25
Plot Area,Ready To Move,T. Nagar,4 BHK,Society1,4347,4,1,297.69
Carpet Area,Ready To Move,Adyar,4 BHK,Society3,2000,5,2,100.21
Plot Area,Ready To Move,Nungambakkam,1 BHK,Society1,810,2,1,40.31
Plot Area,Ready To Move,Sholinganallur,4 BHK,Society5,4410,2,3,249.04
Plot Area,Under Construction,Thiruvanmiyur,3 BHK,Society2,2290,4,0,124.04
Carpet Area,Ready To Move,Anna Nagar,4 BHK,Society1,2049,1,3,91.78
Built-up Area,Under Construction,Sholinganallur,2 BHK,Society4,1646,1,3,99.96
Carpet Area,Ready To Move,Velachery,5 BHK,Society2,2749,3,2,140.67
Built-up Area,Under Construction,Thiruvanmiyur,5 BHK,Society5,3844,5,0,130.82
Plot Area,Ready To Move,Velachery,5 BHK,Society1,3272,3,3,141.79
Carpet Area,Ready To Move,Adyar,4 BHK,Society4,2135,4,1,121.5
Plot Area,Ready To Move,Anna Nagar,4 BHK,Society4,2749,2,3,76.2
Built-up Area,Ready To Move,Adyar,1 BHK,Society2,717,2,2,22.48
Plot Area,Under Construction,T. Nagar,1 BHK,Society2,1006,1,1,40.63
Plot Area,Ready To Move,Anna Nagar,2 BHK,Society4,2223,1,1,57.05
Carpet Area,Ready To Move,Anna Nagar,3 BHK,Society1,3314,4,2,172.54
Built-up Area,Under Construction,Kodambakkam,4 BHK,Society2,3086,3,0,139.29
Plot Area,Ready To Move,Nungambakkam,4 BHK,Society5,3124,1,0,116.96
Carpet Area,Ready To Move,Medavakkam,5 BHK,Society2,5812,1,2,209.76
Plot Area,Under Construction,Velachery,5 BHK,Society2,5992,3,3,228.31
Plot Area,Ready To Move,Kodambakkam,3 BHK,Society1,2662,2,2,140.43
Plot Area,Ready To Move,T. Nagar,4 BHK,Society2,4595,3,1,155.55
Carpet Area,Ready To Move,Kodambakkam,4 BHK,Society5,3751,4,3,153.01
Plot Area,Under Construction,Adyar,4 BHK,Society4,2918,1,1,151.94
Carpet Area,Under Construction,Anna Nagar,3 BHK,Society3,3093,3,2,158.63
Carpet Area,Ready To Move,T. Nagar,3 BHK,Society1,2561,1,1,136.96
Plot Area,Under Construction,Sholinganallur,4 BHK,Society4,3927,1,0,157.33
Built-up Area,Ready To Move,Kodambakkam,2 BHK,Society3,1300,1,0,73.72
Plot Area,Ready To Move,Sholinganallur,5 BHK,Society3,4562,2,3,187.38
Carpet Area,Ready To Move,Velachery,2 BHK,Society5,2250,1,1,59.65
Carpet Area,Under Construction,Tambaram,4 BHK,Society2,3422,1,1,219.54
Carpet Area,Ready To Move,Velachery,5 BHK,Society5,4296,4,2,260.01
Carpet Area,Ready To Move,Velachery,2 BHK,Society3,1536,3,1,45.67
Carpet Area,Ready To Move,Adyar,5 BHK,Society3,3204,1,2,164.68
Built-up Area,Under Construction,Kodambakkam,1 BHK,Society3,1042,1,2,30.88
Carpet Area,Ready To Move,Kodambakkam,3 BHK,Society2,2471,2,0,64.97
Plot Area,Under Construction,Nungambakkam,4 BHK,Society3,4406,3,1,280.39
Plot Area,Ready To Move,Kodambakkam,1 BHK,Society5,1196,1,1,63.63
Carpet Area,Under Construction,Sholinganallur,4 BHK,Society5,2406,4,2,69.41
Carpet Area,Ready To Move,Kodambakkam,3 BHK,Society2,2359,3,2,90.8
Built-up Area,Ready To Move,Sholinganallur,4 BHK,Society4,2885,2,3,82.06
Plot Area,Ready To Move,Anna Nagar,2 BHK,Society2,2078,1,3,65.99
Built-up Area,Under Construction,Adyar,3 BHK,Society5,1640,1,3,56.45
Plot Area,Ready To Move,T. Nagar,2 BHK,Society1,1291,3,3,61.22
Plot Area,Under Construction,Tambaram,1 BHK,Society5,1004,1,0,56.51
Built-up Area,Ready To Move,Thiruvanmiyur,5 BHK,Society3,3594,2,0,189.87
Plot Area,Ready To Move,Nungambakkam,1 BHK,Society4,862,2,0,26.66
Plot Area,Ready To Move,Velachery,1 BHK,Society3,923,2,3,26.73
Built-up Area,Ready To Move,Thiruvanmiyur,2 BHK,Society3,2248,3,0,59.78
Carpet Area,Ready To Move,Kodambakkam,5 BHK,Society4,5877,3,0,167.91
Plot Area,Under Construction,Nungambakkam,2 BHK,Society2,2207,2,2,99.21
Built-up Area,Under Construction,Nungambakkam,1 BHK,Society5,597,1,2,33.54
Plot Area,Ready To Move,Kodambakkam,4 BHK,Society1,4428,3,1,190.4
Carpet Area,Ready To Move,Sholinganallur,2 BHK,Society3,1840,3,2,93.38
Plot Area,Under Construction,Velachery,2 BHK,Society4,1098,2,1,38.3
Built-up Area,Ready To Move,Tambaram,3 BHK,Society5,3087,4,0,134.6
Carpet Area,Ready To Move,Adyar,5 BHK,Society3,3770,4,2,262.51
Built-up Area,Under Construction,Adyar,3 BHK,Society5,1926,3,2,75.16
Built-up Area,Ready To Move,Anna Nagar,1 BHK,Society3,1152,2,0,54.47
Built-up Area,Under Construction,Tambaram,3 BHK,Society5,1823,3,2,89.0
Built-up Area,Ready To Move,Nungambakkam,3 BHK,Society3,2882,2,1,161.9
Carpet Area,Under Construction,Sholinganallur,2 BHK,Society4,1532,2,1,64.95
Carpet Area,Under Construction,Adyar,2 BHK,Society3,1242,2,3,41.23
Plot Area,Ready To Move,Sholinganallur,4 BHK,Society5,2237,3,1,82.61
Plot Area,Ready To Move,Kodambakkam,5 BHK,Society4,4760,5,2,328.85
Carpet Area,Under Construction,T. Nagar,1 BHK,Society5,929,2,2,50.64
Built-up Area,Under Construction,Sholinganallur,3 BHK,Society4,3263,1,0,182.99
Plot Area,Ready To Move,Medavakkam,4 BHK,Society5,2149,5,2,107.83
Plot Area,Under Construction,Tambaram,4 BHK,Society5,3607,4,3,153.85
Plot Area,Under Construction,Medavakkam,2 BHK,Society3,2179,3,3,82.25
Built-up Area,Under Construction,Kodambakkam,5 BHK,Society5,4544,2,3,188.81
Plot Area,Under Construction,Anna Nagar,3 BHK,Society1,3149,1,2,194.36
Built-up Area,Ready To Move,Velachery,2 BHK,Society3,1438,1,3,69.49
Built-up Area,Under Construction,Sholinganallur,3 BHK,Society5,2992,4,1,207.0
Carpet Area,Ready To Move,Nungambakkam,1 BHK,Society4,1103,1,1,72.32
Plot Area,Under Construction,Sholinganallur,1 BHK,Society3,1009,1,3,40.09
Carpet Area,Ready To Move,Adyar,5 BHK,Society3,4413,1,0,229.63
Built-up Area,Under Construction,Thiruvanmiyur,5 BHK,Society4,4999,2,3,335.97
Plot Area,Under Construction,Velachery,5 BHK,Society5,5679,4,1,326.96
Built-up Area,Under Construction,Medavakkam,2 BHK,Society1,1363,1,3,87.42
Built-up Area,Ready To Move,Thiruvanmiyur,1 BHK,Society3,920,2,0,26.9
Carpet Area,Under Construction,Thiruvanmiyur,1 BHK,Society2,551,2,0,37.26
Plot Area,Ready To Move,Kodambakkam,4 BHK,Society5,2446,4,1,126.95
Built-up Area,Under Construction,T. Nagar,5 BHK,Society5,4574,5,2,251.11
Carpet Area,Ready To Move,Tambaram,2 BHK,Society3,1962,1,1,77.69
Plot Area,Ready To Move,Sholinganallur,4 BHK,Society1,4504,4,2,138.11
Carpet Area,Ready To Move,Thiruvanmiyur,2 BHK,Society4,1161,1,0,57.88
Carpet Area,Ready To Move,Thiruvanmiyur,5 BHK,Society1,2648,1,3,87.93
Carpet Area,Ready To Move,Tambaram,2 BHK,Society3,2167,2,1,65.21
Built-up Area,Ready To Move,Velachery,1 BHK,Society1,925,1,0,24.54
Plot Area,Ready To Move,Thiruvanmiyur,2 BHK,Society4,1878,2,3,73.03
Built-up Area,Ready To Move,Tambaram,5 BHK,Society5,2904,3,0,182.05
Plot Area,Under Construction,Kodambakkam,1 BHK,Society5,688,1,0,37.82
Built-up Area,Ready To Move,Tambaram,4 BHK,Society4,3195,4,1,82.68
Built-up Area,Under Construction,Kodambakkam,5 BHK,Society2,5892,4,3,253.23
Carpet Area,Ready To Move,Sholinganallur,4 BHK,Society1,4664,1,3,217.94
Built-up Area,Under Construction,Thiruvanmiyur,2 BHK,Society4,1356,1,3,75.82
Carpet Area,Under Construction,Adyar,3 BHK,Society2,3407,2,3,227.34
Built-up Area,Under Construction,Thiruvanmiyur,2 BHK,Society3,1026,1,2,59.68
Carpet Area,Under Construction,Anna Nagar,2 BHK,Society4,1784,1,2,62.04
Carpet Area,Under Construction,Tambaram,1 BHK,Society3,757,1,2,25.07
Built-up Area,Under Construction,T. Nagar,5 BHK,Society3,5985,2,3,384.2
Plot Area,Ready To Move,Kodambakkam,5 BHK,Society5,3455,5,0,162.8
Built-up Area,Under Construction,T. Nagar,4 BHK,Society5,3422,1,0,234.63
Carpet Area,Ready To Move,Velachery,1 BHK,Society3,504,2,0,22.25
Carpet Area,Under Construction,Adyar,2 BHK,Society4,2204,3,2,68.72
Built-up Area,Ready To Move,Nungambakkam,1 BHK,Society4,740,1,2,43.73
Built-up Area,Ready To Move,Sholinganallur,3 BHK,Society2,2997,1,1,137.36
Carpet Area,Ready To Move,Velachery,5 BHK,Society3,4025,3,0,103.8
Plot Area,Ready To Move,Medavakkam,2 BHK,Society1,1430,3,0,55.39
Built-up Area,Ready To Move,Kodambakkam,4 BHK,Society3,4532,5,2,155.77
Carpet Area,Ready To Move,Tambaram,4 BHK,Society4,4011,5,1,152.44
Built-up Area,Ready To Move,T. Nagar,5 BHK,Society2,5426,3,2,178.95
Plot Area,Under Construction,Medavakkam,2 BHK,Society4,1781,3,0,45.4
Plot Area,Under Construction,Velachery,5 BHK,Society3,2601,3,1,111.96
Plot Area,Under Construction,Velachery,2 BHK,Society5,2253,1,1,103.12
Plot Area,Ready To Move,T. Nagar,3 BHK,Society5,1837,2,3,62.6
Carpet Area,Ready To Move,Thiruvanmiyur,3 BHK,Society1,2466,3,1,140.38
Built-up Area,Under Construction,T. Nagar,4 BHK,Society2,2158,1,2,83.09
Carpet Area,Ready To Move,Anna Nagar,2 BHK,Society3,1008,3,0,34.27
Built-up Area,Under Construction,Kodambakkam,4 BHK,Society4,2850,4,1,163.24
Built-up Area,Ready To Move,Thiruvanmiyur,2 BHK,Society3,1896,2,2,119.45
Built-up Area,Ready To Move,Sholinganallur,3 BHK,Society1,2806,4,1,108.93
Plot Area,Under Construction,Adyar,5 BHK,Society2,4951,3,0,212.68
Built-up Area,Under Construction,Nungambakkam,2 BHK,Society2,1656,1,1,88.68
Built-up Area,Under Construction,Tambaram,2 BHK,Society5,1669,3,1,116.11
Built-up Area,Under Construction,Thiruvanmiyur,2 BHK,Society2,1722,1,1,61.83
Carpet Area,Under Construction,Tambaram,1 BHK,Society1,855,2,3,46.22
Carpet Area,Under Construction,Tambaram,2 BHK,Society4,1307,2,0,73.75
Carpet Area,Ready To Move,Sholinganallur,5 BHK,Society5,2847,4,1,73.89
Carpet Area,Under Construction,Thiruvanmiyur,2 BHK,Society3,1357,3,1,51.57
Carpet Area,Under Construction,Sholinganallur,5 BHK,Society3,4713,1,3,131.5
Carpet Area,Ready To Move,Thiruvanmiyur,2 BHK,Society2,1505,3,1,94.48
Plot Area,Under Construction,Tambaram,1 BHK,Society5,777,2,0,34.51
Built-up Area,Ready To Move,Velachery,4 BHK,Society2,4185,1,0,246.73
Built-up Area,Ready To Move,T. Nagar,4 BHK,Society2,4603,5,3,167.69
Plot Area,Under Construction,Nungambakkam,4 BHK,Society3,4521,3,0,162.02
Carpet Area,Ready To Move,Tambaram,4 BHK,Society3,2975,5,0,109.53
Plot Area,Ready To Move,Kodambakkam,2 BHK,Society3,1298,1,2,66.75
Carpet Area,Ready To Move,Tambaram,5 BHK,Society1,2833,5,1,75.52
Carpet Area,Ready To Move,Anna Nagar,1 BHK,Society2,1192,1,0,78.07
Plot Area,Ready To Move,Tambaram,1 BHK,Society3,889,1,1,40.87
Carpet Area,Ready To Move,Adyar,5 BHK,Society5,5993,1,0,351.78
Built-up Area,Ready To Move,Sholinganallur,1 BHK,Society2,526,1,1,26.16
Built-up Area,Under Construction,Sholinganallur,2 BHK,Society3,2028,3,3,129.34
Built-up Area,Ready To Move,Tambaram,2 BHK,Society2,1878,3,3,51.45
Carpet Area,Under Construction,Medavakkam,3 BHK,Society4,3540,3,1,130.45
Carpet Area,Ready To Move,Medavakkam,1 BHK,Society4,1183,1,0,50.71
Carpet Area,Ready To Move,Velachery,2 BHK,Society3,1569,2,1,94.28
Plot Area,Under Construction,Nungambakkam,4 BHK,Society3,2704,3,0,158.42
Plot Area,Under Construction,T. Nagar,1 BHK,Society3,807,1,0,55.16
Plot Area,Under Construction,T. Nagar,1 BHK,Society1,574,1,3,15.11
Plot Area,Ready To Move,Thiruvanmiyur,1 BHK,Society1,516,1,0,24.77
Built-up Area,Ready To Move,Velachery,4 BHK,Society4,3346,3,1,145.36
Plot Area,Ready To Move,Kodambakkam,1 BHK,Society4,780,1,2,43.92
Built-up Area,Under Construction,Tambaram,5 BHK,Society1,5543,2,1,204.3
Built-up Area,Ready To Move,Adyar,1 BHK,Society1,887,1,1,46.92
Plot Area,Under Construction,Nungambakkam,2 BHK,Society1,1661,1,3,61.8
Carpet Area,Under Construction,Medavakkam,4 BHK,Society5,2815,2,3,190.98
Carpet Area,Ready To Move,Kodambakkam,4 BHK,Society3,4002,1,0,130.27
Plot Area,Ready To Move,Sholinganallur,5 BHK,Society4,4950,1,1,157.48
Carpet Area,Under Construction,Velachery,4 BHK,Society4,3579,1,2,106.45
Carpet Area,Under Construction,T. Nagar,3 BHK,Society1,3505,2,2,169.33
Built-up Area,Under Construction,Kodambakkam,3 BHK,Society2,3447,2,3,203.04
Built-up Area,Ready To Move,Thiruvanmiyur,5 BHK,Society5,5308,3,2,156.62
Plot Area,Under Construction,Tambaram,2 BHK,Society3,1824,3,2,116.69
Plot Area,Under Construction,Adyar,1 BHK,Society5,646,1,2,17.25
Plot Area,Ready To Move,Kodambakkam,4 BHK,Society2,4422,2,2,272.64
Plot Area,Ready To Move,Medavakkam,1 BHK,Society3,955,2,2,31.31
Plot Area,Under Construction,Medavakkam,3 BHK,Society5,3119,1,1,114.09
Plot Area,Ready To Move,Thiruvanmiyur,3 BHK,Society2,1517,2,2,97.22
Carpet Area,Ready To Move,Thiruvanmiyur,5 BHK,Society4,2734,2,3,131.09
Plot Area,Ready To Move,Velachery,4 BHK,Society1,4462,5,2,274.48
Built-up Area,Ready To Move,Adyar,1 BHK,Society4,742,2,3,32.38
Carpet Area,Ready To Move,T. Nagar,1 BHK,Society4,1184,1,0,40.53
Carpet Area,Under Construction,Kodambakkam,4 BHK,Society3,2357,5,1,116.94
Plot Area,Under Construction,Medavakkam,4 BHK,Society1,3311,3,0,148.28
Built-up Area,Under Construction,Kodambakkam,1 BHK,Society1,1179,1,3,78.06
Carpet Area,Under Construction,Sholinganallur,4 BHK,Society2,2800,4,1,176.36
Plot Area,Under Construction,Kodambakkam,4 BHK,Society1,2918,1,1,149.1
Plot Area,Under Construction,Nungambakkam,2 BHK,Society2,1958,1,0,106.68
Plot Area,Under Construction,Sholinganallur,3 BHK,Society1,2071,2,1,92.36
Plot Area,Under Construction,Anna Nagar,5 BHK,Society2,3435,1,0,90.62
Carpet Area,Ready To Move,Tambaram,2 BHK,Society3,2243,1,0,132.41
Carpet Area,Ready To Move,Nungambakkam,1 BHK,Society1,830,1,3,39.92
Carpet Area,Under Construction,Kodambakkam,3 BHK,Society5,2761,3,3,180.99
Plot Area,Ready To Move,Nungambakkam,4 BHK,Society4,3657,3,1,104.19
Carpet Area,Ready To Move,Nungambakkam,4 BHK,Society4,2293,4,3,101.41
Built-up Area,Ready To Move,Medavakkam,5 BHK,Society1,5515,1,2,190.58
Built-up Area,Under Construction,T. Nagar,5 BHK,Society4,2666,5,1,182.85
Built-up Area,Ready To Move,Medavakkam,1 BHK,Society4,1105,2,2,37.38
Plot Area,Under Construction,Sholinganallur,3 BHK,Society1,3111,4,1,214.54
Plot Area,Under Construction,Medavakkam,2 BHK,Society2,1484,3,3,57.83
Built-up Area,Ready To Move,Nungambakkam,5 BHK,Society2,2524,3,2,121.4
Carpet Area,Ready To Move,Sholinganallur,2 BHK,Society3,1983,3,3,60.09
Built-up Area,Under Construction,Tambaram,4 BHK,Society3,2408,2,3,122.35
Built-up Area,Under Construction,Sholinganallur,4 BHK,Society2,3648,5,0,149.47
Plot Area,Under Construction,Thiruvanmiyur,4 BHK,Society5,4651,4,3,155.47
Carpet Area,Ready To Move,Nungambakkam,5 BHK,Society4,2837,5,0,189.86
Carpet Area,Ready To Move,Anna Nagar,2 BHK,Society3,2286,2,2,146.95
Plot Area,Under Construction,T. Nagar,2 BHK,Society2,1205,1,2,57.06
Built-up Area,Under Construction,Kodambakkam,1 BHK,Society4,1085,1,3,34.1
Carpet Area,Ready To Move,Anna Nagar,5 BHK,Society1,2902,3,1,108.41
Plot Area,Ready To Move,Medavakkam,4 BHK,Society3,4269,1,0,130.05
Carpet Area,Under Construction,Anna Nagar,4 BHK,Society1,3168,5,2,191.14
Carpet Area,Ready To Move,Anna Nagar,2 BHK,Society1,1226,1,3,48.06
Plot Area,Ready To Move,Tambaram,1 BHK,Society4,563,1,1,14.41
Carpet Area,Ready To Move,Medavakkam,2 BHK,Society2,1003,2,1,31.15
Carpet Area,Ready To Move,Anna Nagar,5 BHK,Society5,4579,5,3,142.34
Plot Area,Under Construction,T. Nagar,4 BHK,Society2,2781,2,0,182.89
Built-up Area,Ready To Move,Adyar,4 BHK,Society4,2055,1,1,51.62
Built-up Area,Under Construction,T. Nagar,2 BHK,Society2,1417,3,0,36.81
Plot Area,Ready To Move,Kodambakkam,2 BHK,Society2,1243,3,0,54.6
Built-up Area,Under Construction,T. Nagar,4 BHK,Society5,2843,5,1,121.74
Plot Area,Ready To Move,Tambaram,5 BHK,Society4,4375,2,1,223.97
